number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_epochs,params_hidden_size,params_learning_rate,params_normalizer,params_num_layers,params_sequence_length,params_weight_decay,user_attrs_pred_classes,user_attrs_pred_distribution,user_attrs_raw_f1_macro,state
25,0.3527475888026347,2026-06-10 12:42:55.631561,2026-06-10 12:42:57.396428,0 days 00:00:01.764867,32,0.4101911982924676,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 133, 1: 35}",0.3227475888026347,COMPLETE
26,0.07397891963109354,2026-06-10 12:42:57.396543,2026-06-10 12:42:58.769180,0 days 00:00:01.372637,32,0.32706909277903357,10,128,0.0003,maxabs,1,80,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
27,0.07397891963109354,2026-06-10 12:42:58.769293,2026-06-10 12:43:03.222759,0 days 00:00:04.453466,32,0.46514115108190485,20,128,0.0003,standard,3,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
28,-1.0,2026-06-10 12:43:03.222870,2026-06-10 12:43:04.353982,0 days 00:00:01.131112,128,0.3747250295453638,30,64,0.0001,none,2,50,0.0,,,,COMPLETE
29,0.33145851444025887,2026-06-10 12:43:04.354096,2026-06-10 12:43:06.370673,0 days 00:00:02.016577,64,0.4714767446107911,20,32,0.001,maxabs,3,50,0.001,2.0,"{-1: 153, 0: 15}",0.30145851444025884,COMPLETE
30,0.07397891963109354,2026-06-10 12:43:06.370784,2026-06-10 12:43:07.521511,0 days 00:00:01.150727,64,0.4293334138119933,10,32,0.001,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
31,0.07397891963109354,2026-06-10 12:43:07.521630,2026-06-10 12:43:09.296476,0 days 00:00:01.774846,32,0.43681371043794487,10,128,0.0003,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
32,0.2738244696309212,2026-06-10 12:43:09.296590,2026-06-10 12:43:11.069131,0 days 00:00:01.772541,32,0.4147510927225717,10,128,0.0003,maxabs,2,80,1e-05,2.0,"{-1: 163, 1: 5}",0.24382446963092122,COMPLETE
33,0.07397891963109354,2026-06-10 12:43:11.069241,2026-06-10 12:43:12.840539,0 days 00:00:01.771298,32,0.44944509125030585,10,128,0.0003,maxabs,2,80,1e-05,1.0,{-1: 168},0.22397891963109354,COMPLETE
34,0.07397891963109354,2026-06-10 12:43:12.840651,2026-06-10 12:43:15.263587,0 days 00:00:02.422936,32,0.1851271270272834,10,128,0.0003,maxabs,2,100,0.0001,1.0,{-1: 168},0.22397891963109354,COMPLETE
35,0.25222222222222224,2026-06-10 12:43:15.263696,2026-06-10 12:43:20.961526,0 days 00:00:05.697830,32,0.35378406651827354,50,128,0.0003,robust,1,80,1e-05,2.0,"{-1: 161, 0: 7}",0.2222222222222222,COMPLETE
36,0.044092827004219404,2026-06-10 12:43:20.961642,2026-06-10 12:43:22.054471,0 days 00:00:01.092829,128,0.48132629623514256,30,64,0.0001,standard,2,30,0.0001,1.0,{1: 168},0.1940928270042194,COMPLETE
37,0.3230551530957211,2026-06-10 12:43:22.054583,2026-06-10 12:43:24.377975,0 days 00:00:02.323392,32,0.39666708845714416,10,128,0.0003,robust,2,100,0.0,2.0,"{-1: 153, 0: 15}",0.29305515309572105,COMPLETE
38,0.31209606986899563,2026-06-10 12:43:24.378089,2026-06-10 12:43:27.000474,0 days 00:00:02.622385,32,0.4361671092708168,20,256,0.0003,maxabs,1,80,0.001,3.0,"{-1: 144, 0: 3, 1: 21}",0.2820960698689956,COMPLETE
39,0.30401552170163837,2026-06-10 12:43:27.000588,2026-06-10 12:43:29.460979,0 days 00:00:02.460391,128,0.4935788212148287,50,64,0.001,maxabs,3,50,1e-05,3.0,"{-1: 160, 0: 6, 1: 2}",0.2740155217016384,COMPLETE
40,-1.0,2026-06-10 12:43:29.461091,2026-06-10 12:43:30.149458,0 days 00:00:00.688367,64,0.4678736357962302,10,256,0.0003,none,2,30,0.0001,,,,COMPLETE
41,0.4171355060034305,2026-06-10 12:43:30.149572,2026-06-10 12:43:32.878807,0 days 00:00:02.729235,64,0.3096316098892225,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 127, 1: 41}",0.3871355060034305,COMPLETE
42,0.35871523453715226,2026-06-10 12:43:32.878922,2026-06-10 12:43:35.611245,0 days 00:00:02.732323,64,0.22407605369060118,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 91, 1: 77}",0.3287152345371523,COMPLETE
43,0.3784169044707161,2026-06-10 12:43:35.611355,2026-06-10 12:43:38.364123,0 days 00:00:02.752768,64,0.3320159112868449,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 138, 1: 30}",0.3484169044707161,COMPLETE
44,0.4015869319497215,2026-06-10 12:43:38.364238,2026-06-10 12:43:41.146882,0 days 00:00:02.782644,64,0.302450043994549,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 114, 1: 54}",0.37158693194972153,COMPLETE
45,0.3931954465287799,2026-06-10 12:43:41.147000,2026-06-10 12:43:44.393496,0 days 00:00:03.246496,64,0.2808250503247512,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 131, 0: 7, 1: 30}",0.3631954465287799,COMPLETE
46,0.3817628205128205,2026-06-10 12:43:44.393607,2026-06-10 12:43:47.129446,0 days 00:00:02.735839,64,0.28304503130459446,20,128,0.0001,standard,3,80,0.0,2.0,"{-1: 107, 1: 61}",0.35176282051282054,COMPLETE
47,0.20180577706893496,2026-06-10 12:43:47.129559,2026-06-10 12:43:49.406252,0 days 00:00:02.276693,64,0.31195965348112376,20,32,0.0001,standard,3,80,0.0,2.0,"{0: 138, 1: 30}",0.17180577706893496,COMPLETE
48,0.07397891963109354,2026-06-10 12:43:49.406363,2026-06-10 12:43:51.489912,0 days 00:00:02.083549,64,0.23476547066121972,20,256,0.0001,standard,3,30,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
49,0.24505376344086022,2026-06-10 12:43:51.490023,2026-06-10 12:43:55.304468,0 days 00:00:03.814445,64,0.307141052969397,30,128,0.0001,robust,3,80,0.001,2.0,"{-1: 163, 1: 5}",0.21505376344086022,COMPLETE
50,-0.0987179487179487,2026-06-10 12:43:55.304583,2026-06-10 12:44:00.742005,0 days 00:00:05.437422,64,0.18088452308168057,50,64,0.0001,standard,3,80,0.0,1.0,{0: 168},0.05128205128205129,COMPLETE
51,0.32175401816911253,2026-06-10 12:44:00.742118,2026-06-10 12:44:03.944603,0 days 00:00:03.202485,64,0.2759456505443227,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 127, 0: 4, 1: 37}",0.2917540181691125,COMPLETE
52,0.2734635333968456,2026-06-10 12:44:03.944718,2026-06-10 12:44:07.148142,0 days 00:00:03.203424,64,0.24647548854953055,20,128,0.0001,standard,3,100,0.0,2.0,"{-1: 103, 1: 65}",0.24346353339684557,COMPLETE
53,0.41202497769848345,2026-06-10 12:44:07.148252,2026-06-10 12:44:10.352849,0 days 00:00:03.204597,64,0.30745182525579173,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 151, 0: 10, 1: 7}",0.3820249776984835,COMPLETE
54,0.4048311542676555,2026-06-10 12:44:10.352956,2026-06-10 12:44:13.565523,0 days 00:00:03.212567,64,0.3019224918034195,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 147, 0: 8, 1: 13}",0.3748311542676555,COMPLETE
55,0.40730050637331927,2026-06-10 12:44:13.565636,2026-06-10 12:44:16.773051,0 days 00:00:03.207415,64,0.2966279193968279,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 145, 0: 9, 1: 14}",0.3773005063733193,COMPLETE
56,0.4127586206896552,2026-06-10 12:44:16.773163,2026-06-10 12:44:19.981185,0 days 00:00:03.208022,64,0.29916452995080445,20,128,0.0001,standard,3,100,0.001,3.0,"{-1: 147, 0: 10, 1: 11}",0.38275862068965516,COMPLETE
57,0.3729089886097434,2026-06-10 12:44:19.981298,2026-06-10 12:44:23.195940,0 days 00:00:03.214642,64,0.34630491656904056,20,128,0.0001,standard,3,100,0.001,3.0,"{-1: 148, 0: 15, 1: 5}",0.3429089886097434,COMPLETE
58,0.28197255574614066,2026-06-10 12:44:23.196053,2026-06-10 12:44:26.415642,0 days 00:00:03.219589,64,0.2632977006456979,20,128,0.0001,standard,3,100,0.001,2.0,"{-1: 127, 1: 41}",0.25197255574614064,COMPLETE
59,-1.0,2026-06-10 12:44:26.415753,2026-06-10 12:44:29.050660,0 days 00:00:02.634907,64,0.3631508149590569,20,128,0.0001,none,3,100,0.001,,,,COMPLETE
60,0.07397891963109354,2026-06-10 12:44:29.050774,2026-06-10 12:44:31.459901,0 days 00:00:02.409127,128,0.2071841171873155,20,128,0.001,standard,3,100,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
61,0.3994032269428591,2026-06-10 12:44:31.460012,2026-06-10 12:44:34.721215,0 days 00:00:03.261203,64,0.2970213035464455,20,128,0.0001,standard,3,100,0.0,3.0,"{-1: 143, 0: 11, 1: 14}",0.36940322694285915,COMPLETE
62,0.40479382216224313,2026-06-10 12:44:34.721326,2026-06-10 12:44:37.949110,0 days 00:00:03.227784,64,0.31709849572655935,20,128,0.0001,standard,3,100,0.001,3.0,"{-1: 149, 0: 12, 1: 7}",0.37479382216224316,COMPLETE
63,0.30281861040265856,2026-06-10 12:44:37.949222,2026-06-10 12:44:41.168054,0 days 00:00:03.218832,64,0.13447410415749478,20,128,0.0001,standard,3,100,0.0,2.0,"{-1: 10, 1: 158}",0.2728186104026586,COMPLETE
64,0.4019715956558061,2026-06-10 12:44:41.168167,2026-06-10 12:44:44.403500,0 days 00:00:03.235333,64,0.29470306080321274,20,128,0.0001,standard,3,100,0.001,3.0,"{-1: 143, 0: 10, 1: 15}",0.3719715956558061,COMPLETE
65,0.30346863126679635,2026-06-10 12:44:44.403612,2026-06-10 12:44:47.338944,0 days 00:00:02.935332,64,0.33529635115562006,20,32,0.0001,standard,3,100,0.0,2.0,"{0: 19, 1: 149}",0.2734686312667964,COMPLETE
66,0.2747516641065028,2026-06-10 12:44:47.339051,2026-06-10 12:44:51.844494,0 days 00:00:04.505443,64,0.26637877148426,30,128,0.0001,standard,3,100,0.0001,2.0,"{-1: 132, 1: 36}",0.24475166410650281,COMPLETE
67,0.07397891963109354,2026-06-10 12:44:51.844612,2026-06-10 12:44:53.448359,0 days 00:00:01.603747,64,0.2931223453411733,20,128,0.0001,robust,1,100,0.0,1.0,{-1: 168},0.22397891963109354,COMPLETE
68,-1.0,2026-06-10 12:44:53.448473,2026-06-10 12:45:04.612788,0 days 00:00:11.164315,64,0.31774711339267,50,256,0.001,none,3,100,0.001,,,,COMPLETE
69,0.42161344740330164,2026-06-10 12:45:04.612902,2026-06-10 12:45:06.076428,0 days 00:00:01.463526,128,0.34201316630761536,20,128,0.0001,standard,3,50,0.0,2.0,"{-1: 108, 1: 60}",0.3916134474033017,COMPLETE
70,0.4288693720977186,2026-06-10 12:45:06.076548,2026-06-10 12:45:07.532620,0 days 00:00:01.456072,128,0.3818490545528788,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 110, 1: 58}",0.39886937209771856,COMPLETE
71,0.43249433106575963,2026-06-10 12:45:07.532730,2026-06-10 12:45:08.954817,0 days 00:00:01.422087,128,0.3810092116525494,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 111, 1: 57}",0.4024943310657596,COMPLETE
72,0.4361184433164128,2026-06-10 12:45:08.954927,2026-06-10 12:45:10.371954,0 days 00:00:01.417027,128,0.3818746382311902,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 112, 1: 56}",0.40611844331641284,COMPLETE
73,0.43249433106575963,2026-06-10 12:45:10.372069,2026-06-10 12:45:11.798177,0 days 00:00:01.426108,128,0.3823101921584229,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 111, 1: 57}",0.4024943310657596,COMPLETE
74,0.4361184433164128,2026-06-10 12:45:11.798286,2026-06-10 12:45:13.215723,0 days 00:00:01.417437,128,0.3905278360103512,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 112, 1: 56}",0.40611844331641284,COMPLETE
75,-0.0987179487179487,2026-06-10 12:45:13.215838,2026-06-10 12:45:14.450364,0 days 00:00:01.234526,128,0.3823089808989251,20,64,0.0001,standard,3,50,0.001,1.0,{0: 168},0.05128205128205129,COMPLETE
76,0.43249433106575963,2026-06-10 12:45:14.450475,2026-06-10 12:45:15.877436,0 days 00:00:01.426961,128,0.3848543629537856,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 111, 1: 57}",0.4024943310657596,COMPLETE
77,0.4361184433164128,2026-06-10 12:45:15.877556,2026-06-10 12:45:17.297355,0 days 00:00:01.419799,128,0.3944618561650065,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 112, 1: 56}",0.40611844331641284,COMPLETE
78,0.43249433106575963,2026-06-10 12:45:17.297464,2026-06-10 12:45:18.715790,0 days 00:00:01.418326,128,0.3877749829535714,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 111, 1: 57}",0.4024943310657596,COMPLETE
79,-0.0987179487179487,2026-06-10 12:45:18.715901,2026-06-10 12:45:20.022242,0 days 00:00:01.306341,128,0.395543739265173,20,32,0.0001,standard,3,50,0.001,1.0,{0: 168},0.05128205128205129,COMPLETE
80,0.4288693720977186,2026-06-10 12:45:20.022353,2026-06-10 12:45:21.933845,0 days 00:00:01.911492,128,0.4226374796392304,30,128,0.0001,standard,3,50,0.001,2.0,"{-1: 110, 1: 58}",0.39886937209771856,COMPLETE
81,0.43249433106575963,2026-06-10 12:45:21.933961,2026-06-10 12:45:23.349997,0 days 00:00:01.416036,128,0.3637186130152803,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 111, 1: 57}",0.4024943310657596,COMPLETE
82,0.43249433106575963,2026-06-10 12:45:23.350109,2026-06-10 12:45:24.767165,0 days 00:00:01.417056,128,0.4086950523071132,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 111, 1: 57}",0.4024943310657596,COMPLETE
83,0.4288693720977186,2026-06-10 12:45:24.767282,2026-06-10 12:45:26.191505,0 days 00:00:01.424223,128,0.36118667580519803,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 110, 1: 58}",0.39886937209771856,COMPLETE
84,0.4361184433164128,2026-06-10 12:45:26.191615,2026-06-10 12:45:27.610888,0 days 00:00:01.419273,128,0.37530393514538124,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 112, 1: 56}",0.40611844331641284,COMPLETE
85,0.4288693720977186,2026-06-10 12:45:27.611001,2026-06-10 12:45:29.025633,0 days 00:00:01.414632,128,0.3874164059266237,20,128,0.0001,standard,3,50,0.001,2.0,"{-1: 110, 1: 58}",0.39886937209771856,COMPLETE
86,0.45062415196743544,2026-06-10 12:45:29.025751,2026-06-10 12:45:30.443488,0 days 00:00:01.417737,128,0.37388576845913846,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 116, 1: 52}",0.42062415196743547,COMPLETE
87,0.07397891963109354,2026-06-10 12:45:30.443600,2026-06-10 12:45:32.924188,0 days 00:00:02.480588,128,0.3743648997030099,20,256,0.001,robust,3,50,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
88,0.07397891963109354,2026-06-10 12:45:32.924299,2026-06-10 12:45:35.799224,0 days 00:00:02.874925,128,0.419769143801437,50,128,0.0001,robust,3,50,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
89,-0.0987179487179487,2026-06-10 12:45:35.799334,2026-06-10 12:45:37.040108,0 days 00:00:01.240774,128,0.39988459321866837,20,64,0.0001,robust,3,50,0.001,1.0,{0: 168},0.05128205128205129,COMPLETE
90,0.45062415196743544,2026-06-10 12:45:37.040218,2026-06-10 12:45:38.468163,0 days 00:00:01.427945,128,0.371096723770341,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 116, 1: 52}",0.42062415196743547,COMPLETE
91,0.4469945355191256,2026-06-10 12:45:38.468269,2026-06-10 12:45:39.889826,0 days 00:00:01.421557,128,0.3713018622162226,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 115, 1: 53}",0.41699453551912563,COMPLETE
92,0.4401226697575582,2026-06-10 12:45:39.889940,2026-06-10 12:45:41.315862,0 days 00:00:01.425922,128,0.3706130269605854,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 118, 1: 50}",0.4101226697575582,COMPLETE
93,0.45062415196743544,2026-06-10 12:45:41.315977,2026-06-10 12:45:42.737678,0 days 00:00:01.421701,128,0.3578300827082898,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 116, 1: 52}",0.42062415196743547,COMPLETE
94,0.45062415196743544,2026-06-10 12:45:42.737786,2026-06-10 12:45:44.159043,0 days 00:00:01.421257,128,0.3547401072092348,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 116, 1: 52}",0.42062415196743547,COMPLETE
95,0.44540154015401545,2026-06-10 12:45:44.159158,2026-06-10 12:45:45.582034,0 days 00:00:01.422876,128,0.3587236517595154,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 117, 1: 51}",0.4154015401540154,COMPLETE
96,0.44540154015401545,2026-06-10 12:45:45.582147,2026-06-10 12:45:47.001536,0 days 00:00:01.419389,128,0.3584778394637458,20,128,0.0001,robust,3,50,0.001,2.0,"{-1: 117, 1: 51}",0.4154015401540154,COMPLETE
97,0.07397891963109354,2026-06-10 12:45:47.001650,2026-06-10 12:45:47.761373,0 days 00:00:00.759723,128,0.3550822515484907,20,128,0.0001,robust,1,50,0.001,1.0,{-1: 168},0.22397891963109354,COMPLETE
98,0.36002023952250195,2026-06-10 12:45:47.761483,2026-06-10 12:45:49.677683,0 days 00:00:01.916200,128,0.34276830961044913,30,128,0.0001,robust,3,50,0.001,2.0,"{-1: 84, 1: 84}",0.330020239522502,COMPLETE
99,-0.0987179487179487,2026-06-10 12:45:49.677792,2026-06-10 12:45:50.532308,0 days 00:00:00.854516,128,0.3672767849216526,10,32,0.0001,robust,3,50,0.001,1.0,{0: 168},0.05128205128205129,COMPLETE
